ID,Title,Difficulty,Category,Topics,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topic Categories
153,Search Suggestions System,MEDIUM,Array,"Array, Binary Search, Heap (Priority Queue), Heap / Priority Queue, Queue, Sorting, String, Trie",8,"Atlassian, Citadel, Google, JP Morgan, Oracle, Salesforce, ServiceNow, Snap",36.0,65.1%,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Queue, Heap / Priority Queue, Sorting, Trie"
154,Search in Rotated Sorted Array II,MEDIUM,Array,"Array, Binary Search",8,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft, Uber, Yahoo",30.6,0.3887964488253302,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
155,Spiral Matrix II,MEDIUM,Array,"Array, Matrix, Simulation",8,"Adobe, Amazon, Bloomberg, Goldman Sachs, Google, Meta, Microsoft, Uber",30.6,0.734312719680276,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
156,Two Sum II - Input Array Is Sorted,MEDIUM,Array,"Array, Binary Search, Two Pointers",8,"Apple, Google, JP Morgan, Meta, Microsoft, Oracle, Qualcomm, Zomato",38.9,0.6340213036141924,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Binary Search, Two Pointers"
157,Word Break II,HARD,Array,"Array, Backtracking, Dynamic Programming, Hash Table, Memoization, String, Trie",8,"Amazon, Bloomberg, Meta, Oracle, ServiceNow, Snap, Twitter, Uber",66.4,53.65%,https://leetcode.com/problems/word-break-ii,"Array, String, Dynamic Programming, Hash Table, Backtracking, Trie"
158,Word Search II,HARD,Array,"Array, Backtracking, Matrix, String, Trie",8,"Amazon, Cisco, Google, Meta, PayPal, Snap, Snowflake, Uber",55.0,37.33%,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
159,Binary Tree Inorder Traversal,EASY,Binary Tree,"Binary Tree, DFS, Depth-First Search, Stack, Tree",7,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft, Uber",38.3,0.7858399541084903,https://leetcode.com/problems/binary-tree-inorder-traversal,"Tree, Stack, DFS"
160,Degree of an Array,EASY,Array,"Array, Hash Table",7,"ByteDance, IBM, JP Morgan, Oracle, PayPal, Salesforce, Walmart",53.7,0.5742057825337067,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
161,Diameter of Binary Tree,EASY,Binary Tree,"Binary Tree, DFS, Depth-First Search, Tree",7,"Amazon, Apple, Google, Linkedln, Meta, Visa, Walmart",28.4,63.59%,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, DFS"
162,Intersection of Two Arrays,EASY,Array,"Array, Binary Search, Hash Table, Sorting, Two Pointers",7,"Google, IBM, JP Morgan, Linkedln, Microsoft, NVIDIA, PayPal",41.4,0.764742832671859,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Binary Search, Hash Table, Sorting, Two Pointers"
163,Intersection of Two Linked Lists,EASY,Hash Table,"Hash Table, Linked List, Two Pointers",7,"Apple, Bloomberg, Goldman Sachs, Linkedln, Microsoft, NVIDIA, Oracle",47.7,0.6112533936845744,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
164,Next Greater Element I,EASY,Array,"Array, Hash Table, Monotonic Stack, Stack",7,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Microsoft, Morgan Stanley, Swiggy",50.9,74.51%,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
165,Remove Duplicates from Sorted List,EASY,Linked List,Linked List,7,"Adobe, Amazon, Apple, Bloomberg, Microsoft, NVIDIA, Oracle",30.6,0.5487081617461452,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
166,Combinations,MEDIUM,Backtracking,Backtracking,7,"Adobe, Amazon, Apple, Bloomberg, Google, Meta, Microsoft",30.6,0.728964998447839,https://leetcode.com/problems/combinations,Backtracking
167,Design Tic-Tac-Toe,MEDIUM,Array,"Array, Design, Hash Table, Matrix, Simulation",7,"Apple, Atlassian, Databricks, Meta, Microsoft, Qualcomm, Tesla",57.2,0.5860139660881724,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Matrix, Simulation, Design"
168,Flatten Nested List Iterator,MEDIUM,DFS,"DFS, Depth-First Search, Design, Iterator, Queue, Stack, Tree",7,"Apple, Linkedln, Netflix, Tesla, Twitter, Walmart, Yahoo",47.9,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Tree, Stack, Queue, DFS, Design"
169,Implement Trie (Prefix Tree),MEDIUM,Design,"Design, Hash Table, String, Trie",7,"Apple, Citadel, NVIDIA, Oracle, ServiceNow, Snowflake, Twitter",58.9,0.679347462282349,https://leetcode.com/problems/implement-trie-prefix-tree,"String, Hash Table, Trie, Design"
170,Largest Number,MEDIUM,Array,"Array, Greedy, Sorting, String",7,"Goldman Sachs, NVIDIA, Oracle, Salesforce, ServiceNow, Visa, Yahoo",29.7,0.412803811932624,https://leetcode.com/problems/largest-number,"Array, String, Sorting, Greedy"
171,Max Area of Island,MEDIUM,Array,"Array, BFS, Breadth-First Search, DFS, Depth-First Search, Matrix, Union Find",7,"Bloomberg, Goldman Sachs, Intuit, Linkedln, Salesforce, Snowflake, Tesla",61.5,0.7316416136206765,https://leetcode.com/problems/max-area-of-island,"Array, BFS, DFS, Union Find, Matrix"
172,Max Consecutive Ones III,MEDIUM,Array,"Array, Binary Search, Prefix Sum, Sliding Window",7,"Google, Linkedln, Meta, Microsoft, Salesforce, Snap, Walmart",30.8,0.6593934025174093,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
173,Minimum Size Subarray Sum,MEDIUM,Array,"Array, Binary Search, Prefix Sum, Sliding Window",7,"Bloomberg, DEShaw, Goldman Sachs, Meta, Microsoft, NVIDIA, Oracle",47.6,0.4939108177647309,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
174,Permutations II,MEDIUM,Array,"Array, Backtracking, Sorting",7,"Adobe, Amazon, Bloomberg, Citadel, Linkedln, Meta, Microsoft",24.4,0.615917727605333,https://leetcode.com/problems/permutations-ii,"Array, Sorting, Backtracking"
175,Reorder List,MEDIUM,Linked List,"Linked List, Recursion, Stack, Two Pointers",7,"Amazon, Goldman Sachs, Google, Linkedln, Snap, Uber, Yahoo",45.9,62.5%,https://leetcode.com/problems/reorder-list,"Linked List, Stack, Recursion, Two Pointers"
176,Reorganize String,MEDIUM,Counting,"Counting, Greedy, Hash Table, Heap (Priority Queue), Heap / Priority Queue, Queue, Sorting, String",7,"Amazon, Citadel, Goldman Sachs, Intuit, PayPal, Tesla, Walmart",92.5,56.2%,https://leetcode.com/problems/reorganize-string,"String, Hash Table, Queue, Heap / Priority Queue, Sorting, Greedy"
177,Search a 2D Matrix II,MEDIUM,Array,"Array, Binary Search, Divide and Conquer, Matrix",7,"ByteDance, Citadel, Google, Microsoft, Oracle, PayPal, Snap",53.7,0.5522251243876155,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
178,Subarray Product Less Than K,MEDIUM,Array,"Array, Binary Search, Prefix Sum, Sliding Window",7,"Apple, IBM, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow",47.9,0.5285340562664164,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
179,Subsets II,MEDIUM,Array,"Array, Backtracking, Bit Manipulation",7,"Adobe, Amazon, Bloomberg, Google, Meta, Microsoft, Swiggy",18.2,0.595072748658621,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
180,Unique Binary Search Trees,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, Dynamic Programming, Math, Tree",7,"Adobe, Amazon, Apple, Bloomberg, Microsoft, Snap, Yahoo",18.2,0.6244520536210353,https://leetcode.com/problems/unique-binary-search-trees,"Binary Search, Tree, Dynamic Programming, Math"
181,Unique Binary Search Trees II,MEDIUM,Backtracking,"Backtracking, Binary Search, Binary Search Tree, Binary Tree, Dynamic Programming, Tree",7,"Amazon, Apple, Bloomberg, Google, Meta, Microsoft, Uber",37.0,60.4%,https://leetcode.com/problems/unique-binary-search-trees-ii,"Binary Search, Tree, Dynamic Programming, Backtracking"
182,Best Time to Buy and Sell Stock III,HARD,Array,"Array, Dynamic Programming",7,"Apple, Citadel, Meta, Microsoft, Snap, Uber, Visa",65.9,0.5112087693447603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
183,Contains Duplicate II,EASY,Array,"Array, Hash Table, Sliding Window",6,"Goldman Sachs, Google, Meta, Microsoft, Netflix, Palantir",23.0,0.4904986450077176,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
184,Convert Sorted Array to Binary Search Tree,EASY,Array,"Array, Binary Search, Binary Search Tree, Binary Tree, Divide and Conquer, Tree",6,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft",18.2,0.7407934506434607,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Binary Search, Tree, Divide and Conquer"
185,Design HashMap,EASY,Array,"Array, Design, Hash Function, Hash Table, Linked List",6,"Apple, Goldman Sachs, Linkedln, NVIDIA, ServiceNow, Snowflake",47.9,0.6589390156242249,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design"
186,Isomorphic Strings,EASY,Hash Table,"Hash Table, String",6,"Bloomberg, Google, Linkedln, Microsoft, Oracle, Salesforce",47.6,0.4685795790862557,https://leetcode.com/problems/isomorphic-strings,"String, Hash Table"
187,Logger Rate Limiter,EASY,Data Stream,"Data Stream, Design, Hash Table",6,"Apple, Atlassian, Google, Intuit, Netflix, Oracle",47.9,0.7661025675370229,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design"
188,Merge Strings Alternately,EASY,String,"String, Two Pointers",6,"Bloomberg, Google, IBM, Meta, Microsoft, Walmart",63.5,0.8222964639886224,https://leetcode.com/problems/merge-strings-alternately,"String, Two Pointers"
189,Moving Average from Data Stream,EASY,Array,"Array, Data Stream, Design, Queue",6,"Citadel, Google, Linkedln, Meta, Spotify, Tesla",45.9,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Queue, Design"
190,Palindrome Linked List,EASY,Linked List,"Linked List, Recursion, Stack, Two Pointers",6,"Bloomberg, Intuit, Microsoft, Morgan Stanley, Oracle, ServiceNow",47.6,0.558594499890269,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Stack, Recursion, Two Pointers"
191,Path Sum,EASY,BFS,"BFS, Binary Tree, Breadth-First Search, DFS, Depth-First Search, Tree",6,"Adobe, Amazon, Goldman Sachs, Google, Meta, PayPal",25.2,0.5300475989532051,https://leetcode.com/problems/path-sum,"Tree, BFS, DFS"
192,Clone Graph,MEDIUM,BFS,"BFS, Breadth-First Search, DFS, Depth-First Search, Graph, Hash Table",6,"Amazon, Google, Meta, NVIDIA, Uber, Yahoo",37.9,62.39%,https://leetcode.com/problems/clone-graph,"Graph, Hash Table, BFS, DFS"
193,Design Hit Counter,MEDIUM,Array,"Array, Binary Search, Data Stream, Design, Queue",6,"Apple, Atlassian, Databricks, Snowflake, Uber, Walmart",69.0,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Queue, Design"
194,Evaluate Reverse Polish Notation,MEDIUM,Array,"Array, Math, Stack",6,"Amazon, Apple, Citadel, Linkedln, Meta, Microsoft",38.6,54.95%,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Stack, Math"
195,K Closest Points to Origin,MEDIUM,Array,"Array, Divide and Conquer, Geometry, Heap (Priority Queue), Heap / Priority Queue, Math, Queue, Quickselect, Sorting",6,"Amazon, Linkedln, Meta, Snap, Swiggy, Visa",45.6,67.94%,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Queue, Heap / Priority Queue, Sorting, Math, Divide and Conquer"
196,Lowest Common Ancestor of a Binary Search Tree,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, DFS, Depth-First Search, Tree",6,"Google, Linkedln, Meta, Microsoft, Oracle, Twitter",28.6,0.6831069193376744,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Binary Search, Tree, DFS"
197,Open the Lock,MEDIUM,Array,"Array, BFS, Breadth-First Search, Hash Table, String",6,"ByteDance, Citadel, DEShaw, Flipkart, JP Morgan, Uber",53.7,0.6074106348295799,https://leetcode.com/problems/open-the-lock,"Array, String, Hash Table, BFS"
198,Palindrome Partitioning,MEDIUM,Backtracking,"Backtracking, Dynamic Programming, String",6,"Amazon, Bloomberg, Meta, Uber, Walmart, Yahoo",47.5,72.13%,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
199,Partition Equal Subset Sum,MEDIUM,Array,"Array, Dynamic Programming",6,"Flipkart, IBM, Microsoft, ServiceNow, Visa, Walmart",60.0,0.4844389765822093,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
200,Partition List,MEDIUM,Linked List,"Linked List, Two Pointers",6,"Adobe, Amazon, Apple, Bloomberg, Google, Microsoft",40.3,0.5898677373641946,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
201,Recover Binary Search Tree,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, DFS, Depth-First Search, Tree",6,"Amazon, Apple, Bloomberg, Google, Microsoft, Yahoo",30.5,56.32%,https://leetcode.com/problems/recover-binary-search-tree,"Binary Search, Tree, DFS"
202,Remove Duplicates from Sorted List II,MEDIUM,Linked List,"Linked List, Two Pointers",6,"Adobe, Amazon, Apple, Bloomberg, Google, Microsoft",24.4,0.4989080936318432,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
203,Single Element in a Sorted Array,MEDIUM,Array,"Array, Binary Search",6,"Atlassian, Google, Microsoft, NVIDIA, ServiceNow, Snowflake",36.0,59.2%,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
204,Top K Frequent Words,MEDIUM,Array,"Array, Bucket Sort, Counting, Hash Table, Heap (Priority Queue), Heap / Priority Queue, Queue, Sorting, String, Trie",6,"Adobe, Amazon, Google, Intel, Netflix, ServiceNow",100.0,0.592771260185311,https://leetcode.com/problems/top-k-frequent-words,"Array, String, Hash Table, Queue, Heap / Priority Queue, Sorting, Trie"
205,Walls and Gates,MEDIUM,Array,"Array, BFS, Breadth-First Search, Matrix",6,"Google, Salesforce, Snowflake, Spotify, Uber, Visa",29.6,0.6296791509568449,https://leetcode.com/problems/walls-and-gates,"Array, BFS, Matrix"
206,Candy,HARD,Array,"Array, Greedy",6,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Microsoft, Uber",68.7,46.7%,https://leetcode.com/problems/candy,"Array, Greedy"
207,Cherry Pickup,HARD,Array,"Array, Dynamic Programming, Matrix",6,"Atlassian, Cisco, Flipkart, JP Morgan, Snowflake, Zomato",66.3,37.9%,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
208,Integer to English Words,HARD,Math,"Math, Recursion, String",6,"Amazon, Apple, Goldman Sachs, Oracle, Palantir, Snowflake",50.9,34.35%,https://leetcode.com/problems/integer-to-english-words,"String, Recursion, Math"
209,Minimum Number of Taps to Open to Water a Garden,HARD,Array,"Array, Dynamic Programming, Greedy",6,"DEShaw, Flipkart, Intuit, Salesforce, ServiceNow, Uber",66.1,0.5071699895141073,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
210,Substring with Concatenation of All Words,HARD,Hash Table,"Hash Table, Sliding Window, String",6,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft",30.6,0.3299749970274807,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"String, Hash Table, Sliding Window"
211,Balanced Binary Tree,EASY,Binary Tree,"Binary Tree, DFS, Depth-First Search, Tree",5,"Adobe, Apple, Google, Meta, Uber",34.8,0.5534206156043029,https://leetcode.com/problems/balanced-binary-tree,"Tree, DFS"
212,Count Binary Substrings,EASY,String,"String, Two Pointers",5,"ByteDance, IBM, JP Morgan, Morgan Stanley, Salesforce",53.7,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"String, Two Pointers"
213,Create Hello World Function,EASY,Uncategorized,,5,"Amazon, Bloomberg, Google, Meta, Microsoft",48.4,82.13%,https://leetcode.com/problems/create-hello-world-function,
214,Fibonacci Number,EASY,Dynamic Programming,"Dynamic Programming, Math, Memoization, Recursion",5,"Apple, Bloomberg, Google, JP Morgan, NVIDIA",47.9,0.7294495015845286,https://leetcode.com/problems/fibonacci-number,"Dynamic Programming, Recursion, Math"
215,Implement Stack using Queues,EASY,Design,"Design, Queue, Stack",5,"DEShaw, Goldman Sachs, Google, Microsoft, Oracle",48.4,0.6733897915056893,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Queue, Design"
216,Is Subsequence,EASY,Dynamic Programming,"Dynamic Programming, String, Two Pointers",5,"Microsoft, NVIDIA, Qualcomm, Salesforce, Tesla",32.8,0.4838264296140033,https://leetcode.com/problems/is-subsequence,"String, Dynamic Programming, Two Pointers"
217,Reverse String,EASY,String,"String, Two Pointers",5,"Apple, Bloomberg, Goldman Sachs, Google, Morgan Stanley",38.9,0.7976436563508422,https://leetcode.com/problems/reverse-string,"String, Two Pointers"
218,Squares of a Sorted Array,EASY,Array,"Array, Sorting, Two Pointers",5,"Google, Meta, PayPal, Uber, Walmart",30.8,0.7321922364201385,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Sorting, Two Pointers"
219,All Nodes Distance K in Binary Tree,MEDIUM,BFS,"BFS, Binary Tree, Breadth-First Search, DFS, Depth-First Search, Hash Table, Tree",5,"DEShaw, Flipkart, Meta, Salesforce, Walmart",48.4,0.6644216677823813,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Tree, Hash Table, BFS, DFS"
220,Amount of Time for Binary Tree to Be Infected,MEDIUM,BFS,"BFS, Binary Tree, Breadth-First Search, DFS, Depth-First Search, Hash Table, Tree",5,"Flipkart, Goldman Sachs, PayPal, ServiceNow, Snap",53.1,0.6373515517663223,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Tree, Hash Table, BFS, DFS"
221,Cheapest Flights Within K Stops,MEDIUM,BFS,"BFS, Breadth-First Search, DFS, Depth-First Search, Dynamic Programming, Graph, Heap (Priority Queue), Heap / Priority Queue, Queue, Shortest Path",5,"Apple, DEShaw, Snap, Snowflake, Stripe",38.9,0.4039898441519932,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Graph, Dynamic Programming, Queue, Heap / Priority Queue, BFS, DFS"
222,Design Circular Queue,MEDIUM,Array,"Array, Design, Linked List, Queue",5,"Apple, Citadel, Intuit, Qualcomm, Tesla",47.9,0.5264418953615425,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Queue, Design"
223,Kth Smallest Element in a BST,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, DFS, Depth-First Search, Tree",5,"Cisco, Google, Meta, Oracle, Uber",32.0,0.7532962699221157,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Binary Search, Tree, DFS"
224,Kth Smallest Element in a Sorted Matrix,MEDIUM,Array,"Array, Binary Search, Heap (Priority Queue), Heap / Priority Queue, Matrix, Queue, Sorting",5,"Apple, Meta, Oracle, Salesforce, Twitter",54.0,0.6356660329525441,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Queue, Heap / Priority Queue, Sorting, Matrix"
225,Longest Common Subsequence,MEDIUM,Dynamic Programming,"Dynamic Programming, String",5,"ByteDance, Citadel, Goldman Sachs, Salesforce, Walmart",63.6,0.5824940313622117,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
226,Minimum Remove to Make Valid Parentheses,MEDIUM,Stack,"Stack, String",5,"Bloomberg, Google, Meta, Netflix, Snap",64.3,0.7074654274676669,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
227,Pairs of Songs With Total Durations Divisible by 60,MEDIUM,Array,"Array, Counting, Hash Table",5,"Atlassian, BlackRock, Goldman Sachs, PayPal, Salesforce",36.0,53.2%,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table"
228,Path Sum II,MEDIUM,Backtracking,"Backtracking, Binary Tree, DFS, Depth-First Search, Tree",5,"Amazon, Flipkart, Meta, Oracle, Walmart",13.1,60.5%,https://leetcode.com/problems/path-sum-ii,"Tree, Backtracking, DFS"
229,Snapshot Array,MEDIUM,Array,"Array, Binary Search, Design, Hash Table",5,"Databricks, Google, NVIDIA, Snap, Snowflake",82.4,0.3666537538924564,https://leetcode.com/problems/snapshot-array,"Array, Binary Search, Hash Table, Design"
230,Time Based Key-Value Store,MEDIUM,Binary Search,"Binary Search, Design, Hash Table, String",5,"Apple, Databricks, Netflix, Oracle, Snowflake",63.9,0.4936630134309002,https://leetcode.com/problems/time-based-key-value-store,"String, Binary Search, Hash Table, Design"
231,Triangle,MEDIUM,Array,"Array, Dynamic Programming",5,"Amazon, Apple, DEShaw, Oracle, Salesforce",19.6,59.29%,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
232,Validate IP Address,MEDIUM,String,String,5,"Apple, Cisco, NVIDIA, ServiceNow, Twitter",47.7,0.2781752462045336,https://leetcode.com/problems/validate-ip-address,String
233,Alien Dictionary,HARD,Array,"Array, BFS, Breadth-First Search, DFS, Depth-First Search, Graph, String, Topological Sort",5,"Citadel, Meta, Snap, Twitter, Uber",47.5,0.3667370231009105,https://leetcode.com/problems/alien-dictionary,"Array, String, Graph, BFS, DFS"
234,Best Time to Buy and Sell Stock IV,HARD,Array,"Array, Dynamic Programming",5,"Apple, Citadel, Goldman Sachs, Google, NVIDIA",65.9,0.4708615439104682,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
235,Longest Increasing Path in a Matrix,HARD,Array,"Array, BFS, Breadth-First Search, DFS, Depth-First Search, Dynamic Programming, Graph, Matrix, Memoization, Topological Sort",5,"Adobe, Citadel, DEShaw, NVIDIA, Snap",91.1,0.5534762586302827,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Graph, Dynamic Programming, BFS, DFS, Matrix"
236,N-Queens II,HARD,Backtracking,Backtracking,5,"Amazon, Bloomberg, Google, Microsoft, Snowflake",16.2,76.73%,https://leetcode.com/problems/n-queens-ii,Backtracking
237,Optimal Account Balancing,HARD,Array,"Array, Backtracking, Bit Manipulation, Bitmask, Dynamic Programming",5,"Goldman Sachs, Salesforce, Stripe, Uber, Zomato",49.3,0.4993810266893702,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation"
238,Split Array Largest Sum,HARD,Array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",5,"Bloomberg, DEShaw, Google, Microsoft, Salesforce",47.6,0.580995560819648,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
239,The Skyline Problem,HARD,Array,"Array, Binary Indexed Tree, Divide and Conquer, Heap (Priority Queue), Heap / Priority Queue, Line Sweep, Ordered Set, Queue, Segment Tree, Tree",5,"Citadel, Goldman Sachs, Google, Salesforce, Twitter",38.9,0.4396233271583687,https://leetcode.com/problems/the-skyline-problem,"Array, Tree, Queue, Heap / Priority Queue, Divide and Conquer"
240,Trapping Rain Water II,HARD,Array,"Array, BFS, Breadth-First Search, Heap (Priority Queue), Heap / Priority Queue, Matrix, Queue",5,"ByteDance, Google, Palantir, Qualcomm, Twitter",48.5,0.588762524838287,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Queue, Heap / Priority Queue, BFS, Matrix"
241,Valid Number,HARD,String,String,5,"Amazon, Apple, Google, Linkedln, Meta",20.3,21.56%,https://leetcode.com/problems/valid-number,String
242,Add Strings,EASY,Math,"Math, Simulation, String",4,"Meta, Microsoft, Oracle, Walmart",60.3,0.5190382397212994,https://leetcode.com/problems/add-strings,"String, Math, Simulation"
243,Add Two Integers,EASY,Math,Math,4,"Atlassian, Google, Meta, Microsoft",36.0,88.1%,https://leetcode.com/problems/add-two-integers,Math
244,Can Place Flowers,EASY,Array,"Array, Greedy",4,"Atlassian, Cisco, Linkedln, Microsoft",62.8,28.9%,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
245,Find Pivot Index,EASY,Array,"Array, Prefix Sum",4,"IBM, Linkedln, NVIDIA, PayPal",80.6,0.6057029910807422,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
246,Implement Queue using Stacks,EASY,Design,"Design, Queue, Stack",4,"Apple, Netflix, Oracle, Qualcomm",38.9,0.6806072941218969,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Queue, Design"
247,Max Consecutive Ones,EASY,Array,Array,4,"Bloomberg, Deolite, Google, Microsoft",61.5,0.6248232110227296,https://leetcode.com/problems/max-consecutive-ones,Array
248,Middle of the Linked List,EASY,Linked List,"Linked List, Two Pointers",4,"Goldman Sachs, Intuit, Qualcomm, Walmart",29.7,0.8058170587466457,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
249,Minimum Absolute Difference,EASY,Array,"Array, Sorting",4,"IBM, JP Morgan, Oracle, PayPal",82.3,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
250,Minimum Depth of Binary Tree,EASY,BFS,"BFS, Binary Tree, Breadth-First Search, DFS, Depth-First Search, Tree",4,"Adobe, Google, Meta, Uber",18.2,0.5066668022955421,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, BFS, DFS"
251,Pascal's Triangle II,EASY,Array,"Array, Dynamic Programming",4,"Goldman Sachs, Google, Meta, Yahoo",34.6,0.6595100107835754,https://leetcode.com/problems/pascals-triangle-ii,"Array, Dynamic Programming"
252,Recyclable and Low Fat Products,EASY,Database,Database,4,"Bloomberg, Google, Meta, Microsoft",45.6,0.8925494047235137,https://leetcode.com/problems/recyclable-and-low-fat-products,
253,Accounts Merge,MEDIUM,Array,"Array, BFS, Breadth-First Search, DFS, Depth-First Search, Hash Table, Sorting, String, Union Find",4,"Linkedln, Meta, Palantir, Snap",49.7,0.5957992244722102,https://leetcode.com/problems/accounts-merge,"Array, String, Hash Table, Sorting, BFS, DFS, Union Find"
254,Boundary of Binary Tree,MEDIUM,Binary Tree,"Binary Tree, DFS, Depth-First Search, Tree",4,"BlackRock, Snowflake, Uber, Walmart",43.3,0.4715862928790685,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, DFS"
255,Capacity To Ship Packages Within D Days,MEDIUM,Array,"Array, Binary Search",4,"Amazon, Flipkart, Meta, Salesforce",58.2,72.12%,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
256,Construct Binary Tree from Inorder and Postorder Traversal,MEDIUM,Array,"Array, Binary Tree, Divide and Conquer, Hash Table, Tree",4,"Adobe, Bloomberg, Microsoft, Walmart",18.2,0.6608200104533679,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,"Array, Tree, Hash Table, Divide and Conquer"
257,Convert Sorted List to Binary Search Tree,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, Divide and Conquer, Linked List, Tree",4,"Bloomberg, Meta, Microsoft, Uber",18.9,0.6445920225309912,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Binary Search, Tree, Linked List, Divide and Conquer"
