Title,Difficulty,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topics,Topic Categories
Word Break II,HARD,8,"Amazon, Bloomberg, Meta, Oracle, ServiceNow, Snap, Twitter, Uber",66.4,53.65%,https://leetcode.com/problems/word-break-ii,"Array, Backtracking, Dynamic Programming, Hash Table, Memoization, String, Trie","Array, String, Dynamic Programming, Hash Table, Backtracking, Trie"
Word Search II,HARD,8,"Amazon, Cisco, Google, Meta, PayPal, Snap, Snowflake, Uber",55.0,37.33%,https://leetcode.com/problems/word-search-ii,"Array, Backtracking, Matrix, String, Trie","Array, String, Backtracking, Trie, Matrix"
Binary Tree Inorder Traversal,EASY,7,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft, Uber",38.3,0.7858399541084903,https://leetcode.com/problems/binary-tree-inorder-traversal,"Binary Tree, Depth-First Search, Stack, Tree","Tree, Stack, DFS"
Degree of an Array,EASY,7,"ByteDance, IBM, JP Morgan, Oracle, PayPal, Salesforce, Walmart",53.7,0.5742057825337067,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table","Array, Hash Table"
Diameter of Binary Tree,EASY,7,"Amazon, Apple, Google, Linkedln, Meta, Visa, Walmart",28.4,63.59%,https://leetcode.com/problems/diameter-of-binary-tree,"Binary Tree, Depth-First Search, Tree","Tree, DFS"
Intersection of Two Arrays,EASY,7,"Google, IBM, JP Morgan, Linkedln, Microsoft, NVIDIA, PayPal",41.4,0.764742832671859,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Binary Search, Hash Table, Sorting, Two Pointers","Array, Binary Search, Hash Table, Sorting, Two Pointers"
Intersection of Two Linked Lists,EASY,7,"Apple, Bloomberg, Goldman Sachs, Linkedln, Microsoft, NVIDIA, Oracle",47.7,0.6112533936845744,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers","Hash Table, Linked List, Two Pointers"
Next Greater Element I,EASY,7,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Microsoft, Morgan Stanley, Swiggy",50.9,74.51%,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Monotonic Stack, Stack","Array, Hash Table, Stack, Monotonic Stack"
Remove Duplicates from Sorted List,EASY,7,"Adobe, Amazon, Apple, Bloomberg, Microsoft, NVIDIA, Oracle",30.6,0.5487081617461452,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List,Linked List
Combinations,MEDIUM,7,"Adobe, Amazon, Apple, Bloomberg, Google, Meta, Microsoft",30.6,0.728964998447839,https://leetcode.com/problems/combinations,Backtracking,Backtracking
Design Tic-Tac-Toe,MEDIUM,7,"Apple, Atlassian, Databricks, Meta, Microsoft, Qualcomm, Tesla",57.2,0.5860139660881724,https://leetcode.com/problems/design-tic-tac-toe,"Array, Design, Hash Table, Matrix, Simulation","Array, Hash Table, Matrix, Simulation, Design"
Flatten Nested List Iterator,MEDIUM,7,"Apple, Linkedln, Netflix, Tesla, Twitter, Walmart, Yahoo",47.9,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Depth-First Search, Design, Iterator, Queue, Stack, Tree","Tree, Stack, Queue, DFS, Design"
Implement Trie (Prefix Tree),MEDIUM,7,"Apple, Citadel, NVIDIA, Oracle, ServiceNow, Snowflake, Twitter",58.9,0.679347462282349,https://leetcode.com/problems/implement-trie-prefix-tree,"Design, Hash Table, String, Trie","String, Hash Table, Trie, Design"
Largest Number,MEDIUM,7,"Goldman Sachs, NVIDIA, Oracle, Salesforce, ServiceNow, Visa, Yahoo",29.7,0.412803811932624,https://leetcode.com/problems/largest-number,"Array, Greedy, Sorting, String","Array, String, Sorting, Greedy"
Max Area of Island,MEDIUM,7,"Bloomberg, Goldman Sachs, Intuit, Linkedln, Salesforce, Snowflake, Tesla",61.5,0.7316416136206765,https://leetcode.com/problems/max-area-of-island,"Array, Breadth-First Search, Depth-First Search, Matrix, Union Find","Array, BFS, DFS, Union Find, Matrix"
Max Consecutive Ones III,MEDIUM,7,"Google, Linkedln, Meta, Microsoft, Salesforce, Snap, Walmart",30.8,0.6593934025174093,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Prefix Sum, Sliding Window","Array, Binary Search, Sliding Window, Prefix Sum"
Minimum Size Subarray Sum,MEDIUM,7,"Bloomberg, DEShaw, Goldman Sachs, Meta, Microsoft, NVIDIA, Oracle",47.6,0.4939108177647309,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Prefix Sum, Sliding Window","Array, Binary Search, Sliding Window, Prefix Sum"
Permutations II,MEDIUM,7,"Adobe, Amazon, Bloomberg, Citadel, Linkedln, Meta, Microsoft",24.4,0.615917727605333,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting","Array, Sorting, Backtracking"
Reorder List,MEDIUM,7,"Amazon, Goldman Sachs, Google, Linkedln, Snap, Uber, Yahoo",45.9,62.5%,https://leetcode.com/problems/reorder-list,"Linked List, Recursion, Stack, Two Pointers","Linked List, Stack, Recursion, Two Pointers"
Reorganize String,MEDIUM,7,"Amazon, Citadel, Goldman Sachs, Intuit, PayPal, Tesla, Walmart",92.5,56.2%,https://leetcode.com/problems/reorganize-string,"Counting, Greedy, Hash Table, Heap (Priority Queue), Sorting, String","String, Hash Table, Queue, Heap / Priority Queue, Sorting, Greedy"
Search a 2D Matrix II,MEDIUM,7,"ByteDance, Citadel, Google, Microsoft, Oracle, PayPal, Snap",53.7,0.5522251243876155,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix","Array, Binary Search, Divide and Conquer, Matrix"
Subarray Product Less Than K,MEDIUM,7,"Apple, IBM, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow",47.9,0.5285340562664164,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Prefix Sum, Sliding Window","Array, Binary Search, Sliding Window, Prefix Sum"
Subsets II,MEDIUM,7,"Adobe, Amazon, Bloomberg, Google, Meta, Microsoft, Swiggy",18.2,0.595072748658621,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation","Array, Backtracking, Bit Manipulation"
Unique Binary Search Trees,MEDIUM,7,"Adobe, Amazon, Apple, Bloomberg, Microsoft, Snap, Yahoo",18.2,0.6244520536210353,https://leetcode.com/problems/unique-binary-search-trees,"Binary Search Tree, Binary Tree, Dynamic Programming, Math, Tree","Binary Search, Tree, Dynamic Programming, Math"
Unique Binary Search Trees II,MEDIUM,7,"Amazon, Apple, Bloomberg, Google, Meta, Microsoft, Uber",37.0,60.4%,https://leetcode.com/problems/unique-binary-search-trees-ii,"Backtracking, Binary Search Tree, Binary Tree, Dynamic Programming, Tree","Binary Search, Tree, Dynamic Programming, Backtracking"
Best Time to Buy and Sell Stock III,HARD,7,"Apple, Citadel, Meta, Microsoft, Snap, Uber, Visa",65.9,0.5112087693447603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming","Array, Dynamic Programming"
Contains Duplicate II,EASY,6,"Goldman Sachs, Google, Meta, Microsoft, Netflix, Palantir",23.0,0.4904986450077176,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window","Array, Hash Table, Sliding Window"
Convert Sorted Array to Binary Search Tree,EASY,6,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft",18.2,0.7407934506434607,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Binary Search Tree, Binary Tree, Divide and Conquer, Tree","Array, Binary Search, Tree, Divide and Conquer"
Design HashMap,EASY,6,"Apple, Goldman Sachs, Linkedln, NVIDIA, ServiceNow, Snowflake",47.9,0.6589390156242249,https://leetcode.com/problems/design-hashmap,"Array, Design, Hash Function, Hash Table, Linked List","Array, Hash Table, Linked List, Design"
Isomorphic Strings,EASY,6,"Bloomberg, Google, Linkedln, Microsoft, Oracle, Salesforce",47.6,0.4685795790862557,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String","String, Hash Table"
Logger Rate Limiter,EASY,6,"Apple, Atlassian, Google, Intuit, Netflix, Oracle",47.9,0.7661025675370229,https://leetcode.com/problems/logger-rate-limiter,"Data Stream, Design, Hash Table","Hash Table, Design"
Merge Strings Alternately,EASY,6,"Bloomberg, Google, IBM, Meta, Microsoft, Walmart",63.5,0.8222964639886224,https://leetcode.com/problems/merge-strings-alternately,"String, Two Pointers","String, Two Pointers"
Moving Average from Data Stream,EASY,6,"Citadel, Google, Linkedln, Meta, Spotify, Tesla",45.9,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Data Stream, Design, Queue","Array, Queue, Design"
Palindrome Linked List,EASY,6,"Bloomberg, Intuit, Microsoft, Morgan Stanley, Oracle, ServiceNow",47.6,0.558594499890269,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Recursion, Stack, Two Pointers","Linked List, Stack, Recursion, Two Pointers"
Path Sum,EASY,6,"Adobe, Amazon, Goldman Sachs, Google, Meta, PayPal",25.2,0.5300475989532051,https://leetcode.com/problems/path-sum,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Tree, BFS, DFS"
Clone Graph,MEDIUM,6,"Amazon, Google, Meta, NVIDIA, Uber, Yahoo",37.9,62.39%,https://leetcode.com/problems/clone-graph,"Breadth-First Search, Depth-First Search, Graph, Hash Table","Graph, Hash Table, BFS, DFS"
Design Hit Counter,MEDIUM,6,"Apple, Atlassian, Databricks, Snowflake, Uber, Walmart",69.0,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Data Stream, Design, Queue","Array, Binary Search, Queue, Design"
Evaluate Reverse Polish Notation,MEDIUM,6,"Amazon, Apple, Citadel, Linkedln, Meta, Microsoft",38.6,54.95%,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack","Array, Stack, Math"
K Closest Points to Origin,MEDIUM,6,"Amazon, Linkedln, Meta, Snap, Swiggy, Visa",45.6,67.94%,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Divide and Conquer, Geometry, Heap (Priority Queue), Math, Quickselect, Sorting","Array, Queue, Heap / Priority Queue, Sorting, Math, Divide and Conquer"
Lowest Common Ancestor of a Binary Search Tree,MEDIUM,6,"Google, Linkedln, Meta, Microsoft, Oracle, Twitter",28.6,0.6831069193376744,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Binary Search, Tree, DFS"
Open the Lock,MEDIUM,6,"ByteDance, Citadel, DEShaw, Flipkart, JP Morgan, Uber",53.7,0.6074106348295799,https://leetcode.com/problems/open-the-lock,"Array, Breadth-First Search, Hash Table, String","Array, String, Hash Table, BFS"
Palindrome Partitioning,MEDIUM,6,"Amazon, Bloomberg, Meta, Uber, Walmart, Yahoo",47.5,72.13%,https://leetcode.com/problems/palindrome-partitioning,"Backtracking, Dynamic Programming, String","String, Dynamic Programming, Backtracking"
Partition Equal Subset Sum,MEDIUM,6,"Flipkart, IBM, Microsoft, ServiceNow, Visa, Walmart",60.0,0.4844389765822093,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming","Array, Dynamic Programming"
Partition List,MEDIUM,6,"Adobe, Amazon, Apple, Bloomberg, Google, Microsoft",40.3,0.5898677373641946,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers","Linked List, Two Pointers"
Recover Binary Search Tree,MEDIUM,6,"Amazon, Apple, Bloomberg, Google, Microsoft, Yahoo",30.5,56.32%,https://leetcode.com/problems/recover-binary-search-tree,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Binary Search, Tree, DFS"
Remove Duplicates from Sorted List II,MEDIUM,6,"Adobe, Amazon, Apple, Bloomberg, Google, Microsoft",24.4,0.4989080936318432,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers","Linked List, Two Pointers"
Single Element in a Sorted Array,MEDIUM,6,"Atlassian, Google, Microsoft, NVIDIA, ServiceNow, Snowflake",36.0,59.2%,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search","Array, Binary Search"
Top K Frequent Words,MEDIUM,6,"Adobe, Amazon, Google, Intel, Netflix, ServiceNow",100.0,0.592771260185311,https://leetcode.com/problems/top-k-frequent-words,"Array, Bucket Sort, Counting, Hash Table, Heap (Priority Queue), Sorting, String, Trie","Array, String, Hash Table, Queue, Heap / Priority Queue, Sorting, Trie"
Walls and Gates,MEDIUM,6,"Google, Salesforce, Snowflake, Spotify, Uber, Visa",29.6,0.6296791509568449,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix","Array, BFS, Matrix"
Candy,HARD,6,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Microsoft, Uber",68.7,46.7%,https://leetcode.com/problems/candy,"Array, Greedy","Array, Greedy"
Cherry Pickup,HARD,6,"Atlassian, Cisco, Flipkart, JP Morgan, Snowflake, Zomato",66.3,37.9%,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix","Array, Dynamic Programming, Matrix"
Integer to English Words,HARD,6,"Amazon, Apple, Goldman Sachs, Oracle, Palantir, Snowflake",50.9,34.35%,https://leetcode.com/problems/integer-to-english-words,"Math, Recursion, String","String, Recursion, Math"
Minimum Number of Taps to Open to Water a Garden,HARD,6,"DEShaw, Flipkart, Intuit, Salesforce, ServiceNow, Uber",66.1,0.5071699895141073,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming, Greedy"
Substring with Concatenation of All Words,HARD,6,"Adobe, Amazon, Apple, Bloomberg, Meta, Microsoft",30.6,0.3299749970274807,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, Sliding Window, String","String, Hash Table, Sliding Window"
Balanced Binary Tree,EASY,5,"Adobe, Apple, Google, Meta, Uber",34.8,0.5534206156043029,https://leetcode.com/problems/balanced-binary-tree,"Binary Tree, Depth-First Search, Tree","Tree, DFS"
Count Binary Substrings,EASY,5,"ByteDance, IBM, JP Morgan, Morgan Stanley, Salesforce",53.7,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"String, Two Pointers","String, Two Pointers"
Create Hello World Function,EASY,5,"Amazon, Bloomberg, Google, Meta, Microsoft",48.4,82.13%,https://leetcode.com/problems/create-hello-world-function,,
Fibonacci Number,EASY,5,"Apple, Bloomberg, Google, JP Morgan, NVIDIA",47.9,0.7294495015845286,https://leetcode.com/problems/fibonacci-number,"Dynamic Programming, Math, Memoization, Recursion","Dynamic Programming, Recursion, Math"
Implement Stack using Queues,EASY,5,"DEShaw, Goldman Sachs, Google, Microsoft, Oracle",48.4,0.6733897915056893,https://leetcode.com/problems/implement-stack-using-queues,"Design, Queue, Stack","Stack, Queue, Design"
Is Subsequence,EASY,5,"Microsoft, NVIDIA, Qualcomm, Salesforce, Tesla",32.8,0.4838264296140033,https://leetcode.com/problems/is-subsequence,"Dynamic Programming, String, Two Pointers","String, Dynamic Programming, Two Pointers"
Reverse String,EASY,5,"Apple, Bloomberg, Goldman Sachs, Google, Morgan Stanley",38.9,0.7976436563508422,https://leetcode.com/problems/reverse-string,"String, Two Pointers","String, Two Pointers"
Squares of a Sorted Array,EASY,5,"Google, Meta, PayPal, Uber, Walmart",30.8,0.7321922364201385,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Sorting, Two Pointers","Array, Sorting, Two Pointers"
All Nodes Distance K in Binary Tree,MEDIUM,5,"DEShaw, Flipkart, Meta, Salesforce, Walmart",48.4,0.6644216677823813,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Binary Tree, Breadth-First Search, Depth-First Search, Hash Table, Tree","Tree, Hash Table, BFS, DFS"
Amount of Time for Binary Tree to Be Infected,MEDIUM,5,"Flipkart, Goldman Sachs, PayPal, ServiceNow, Snap",53.1,0.6373515517663223,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Binary Tree, Breadth-First Search, Depth-First Search, Hash Table, Tree","Tree, Hash Table, BFS, DFS"
Cheapest Flights Within K Stops,MEDIUM,5,"Apple, DEShaw, Snap, Snowflake, Stripe",38.9,0.4039898441519932,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Breadth-First Search, Depth-First Search, Dynamic Programming, Graph, Heap (Priority Queue), Shortest Path","Graph, Dynamic Programming, Queue, Heap / Priority Queue, BFS, DFS"
Design Circular Queue,MEDIUM,5,"Apple, Citadel, Intuit, Qualcomm, Tesla",47.9,0.5264418953615425,https://leetcode.com/problems/design-circular-queue,"Array, Design, Linked List, Queue","Array, Linked List, Queue, Design"
Kth Smallest Element in a BST,MEDIUM,5,"Cisco, Google, Meta, Oracle, Uber",32.0,0.7532962699221157,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Binary Search, Tree, DFS"
Kth Smallest Element in a Sorted Matrix,MEDIUM,5,"Apple, Meta, Oracle, Salesforce, Twitter",54.0,0.6356660329525441,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Heap (Priority Queue), Matrix, Sorting","Array, Binary Search, Queue, Heap / Priority Queue, Sorting, Matrix"
Longest Common Subsequence,MEDIUM,5,"ByteDance, Citadel, Goldman Sachs, Salesforce, Walmart",63.6,0.5824940313622117,https://leetcode.com/problems/longest-common-subsequence,"Dynamic Programming, String","String, Dynamic Programming"
Minimum Remove to Make Valid Parentheses,MEDIUM,5,"Bloomberg, Google, Meta, Netflix, Snap",64.3,0.7074654274676669,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"Stack, String","String, Stack"
Pairs of Songs With Total Durations Divisible by 60,MEDIUM,5,"Atlassian, BlackRock, Goldman Sachs, PayPal, Salesforce",36.0,53.2%,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Counting, Hash Table","Array, Hash Table"
Path Sum II,MEDIUM,5,"Amazon, Flipkart, Meta, Oracle, Walmart",13.1,60.5%,https://leetcode.com/problems/path-sum-ii,"Backtracking, Binary Tree, Depth-First Search, Tree","Tree, Backtracking, DFS"
Snapshot Array,MEDIUM,5,"Databricks, Google, NVIDIA, Snap, Snowflake",82.4,0.3666537538924564,https://leetcode.com/problems/snapshot-array,"Array, Binary Search, Design, Hash Table","Array, Binary Search, Hash Table, Design"
Time Based Key-Value Store,MEDIUM,5,"Apple, Databricks, Netflix, Oracle, Snowflake",63.9,0.4936630134309002,https://leetcode.com/problems/time-based-key-value-store,"Binary Search, Design, Hash Table, String","String, Binary Search, Hash Table, Design"
Triangle,MEDIUM,5,"Amazon, Apple, DEShaw, Oracle, Salesforce",19.6,59.29%,https://leetcode.com/problems/triangle,"Array, Dynamic Programming","Array, Dynamic Programming"
Validate IP Address,MEDIUM,5,"Apple, Cisco, NVIDIA, ServiceNow, Twitter",47.7,0.2781752462045336,https://leetcode.com/problems/validate-ip-address,String,String
Alien Dictionary,HARD,5,"Citadel, Meta, Snap, Twitter, Uber",47.5,0.3667370231009105,https://leetcode.com/problems/alien-dictionary,"Array, Breadth-First Search, Depth-First Search, Graph, String, Topological Sort","Array, String, Graph, BFS, DFS"
Best Time to Buy and Sell Stock IV,HARD,5,"Apple, Citadel, Goldman Sachs, Google, NVIDIA",65.9,0.4708615439104682,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming","Array, Dynamic Programming"
Longest Increasing Path in a Matrix,HARD,5,"Adobe, Citadel, DEShaw, NVIDIA, Snap",91.1,0.5534762586302827,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Breadth-First Search, Depth-First Search, Dynamic Programming, Graph, Matrix, Memoization, Topological Sort","Array, Graph, Dynamic Programming, BFS, DFS, Matrix"
N-Queens II,HARD,5,"Amazon, Bloomberg, Google, Microsoft, Snowflake",16.2,76.73%,https://leetcode.com/problems/n-queens-ii,Backtracking,Backtracking
Optimal Account Balancing,HARD,5,"Goldman Sachs, Salesforce, Stripe, Uber, Zomato",49.3,0.4993810266893702,https://leetcode.com/problems/optimal-account-balancing,"Array, Backtracking, Bit Manipulation, Bitmask, Dynamic Programming","Array, Dynamic Programming, Backtracking, Bit Manipulation"
Split Array Largest Sum,HARD,5,"Bloomberg, DEShaw, Google, Microsoft, Salesforce",47.6,0.580995560819648,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum","Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
The Skyline Problem,HARD,5,"Citadel, Goldman Sachs, Google, Salesforce, Twitter",38.9,0.4396233271583687,https://leetcode.com/problems/the-skyline-problem,"Array, Binary Indexed Tree, Divide and Conquer, Heap (Priority Queue), Line Sweep, Ordered Set, Segment Tree","Array, Tree, Queue, Heap / Priority Queue, Divide and Conquer"
Trapping Rain Water II,HARD,5,"ByteDance, Google, Palantir, Qualcomm, Twitter",48.5,0.588762524838287,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix","Array, Queue, Heap / Priority Queue, BFS, Matrix"
Valid Number,HARD,5,"Amazon, Apple, Google, Linkedln, Meta",20.3,21.56%,https://leetcode.com/problems/valid-number,String,String
Add Strings,EASY,4,"Meta, Microsoft, Oracle, Walmart",60.3,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, Simulation, String","String, Math, Simulation"
Add Two Integers,EASY,4,"Atlassian, Google, Meta, Microsoft",36.0,88.1%,https://leetcode.com/problems/add-two-integers,Math,Math
Can Place Flowers,EASY,4,"Atlassian, Cisco, Linkedln, Microsoft",62.8,28.9%,https://leetcode.com/problems/can-place-flowers,"Array, Greedy","Array, Greedy"
Find Pivot Index,EASY,4,"IBM, Linkedln, NVIDIA, PayPal",80.6,0.6057029910807422,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum","Array, Prefix Sum"
Implement Queue using Stacks,EASY,4,"Apple, Netflix, Oracle, Qualcomm",38.9,0.6806072941218969,https://leetcode.com/problems/implement-queue-using-stacks,"Design, Queue, Stack","Stack, Queue, Design"
Max Consecutive Ones,EASY,4,"Bloomberg, Deolite, Google, Microsoft",61.5,0.6248232110227296,https://leetcode.com/problems/max-consecutive-ones,Array,Array
Middle of the Linked List,EASY,4,"Goldman Sachs, Intuit, Qualcomm, Walmart",29.7,0.8058170587466457,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers","Linked List, Two Pointers"
Minimum Absolute Difference,EASY,4,"IBM, JP Morgan, Oracle, PayPal",82.3,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting","Array, Sorting"
Minimum Depth of Binary Tree,EASY,4,"Adobe, Google, Meta, Uber",18.2,0.5066668022955421,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Tree, BFS, DFS"
Pascal's Triangle II,EASY,4,"Goldman Sachs, Google, Meta, Yahoo",34.6,0.6595100107835754,https://leetcode.com/problems/pascals-triangle-ii,"Array, Dynamic Programming","Array, Dynamic Programming"
Recyclable and Low Fat Products,EASY,4,"Bloomberg, Google, Meta, Microsoft",45.6,0.8925494047235137,https://leetcode.com/problems/recyclable-and-low-fat-products,Database,
Accounts Merge,MEDIUM,4,"Linkedln, Meta, Palantir, Snap",49.7,0.5957992244722102,https://leetcode.com/problems/accounts-merge,"Array, Breadth-First Search, Depth-First Search, Hash Table, Sorting, String, Union Find","Array, String, Hash Table, Sorting, BFS, DFS, Union Find"
Boundary of Binary Tree,MEDIUM,4,"BlackRock, Snowflake, Uber, Walmart",43.3,0.4715862928790685,https://leetcode.com/problems/boundary-of-binary-tree,"Binary Tree, Depth-First Search, Tree","Tree, DFS"
Capacity To Ship Packages Within D Days,MEDIUM,4,"Amazon, Flipkart, Meta, Salesforce",58.2,72.12%,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search","Array, Binary Search"
Construct Binary Tree from Inorder and Postorder Traversal,MEDIUM,4,"Adobe, Bloomberg, Microsoft, Walmart",18.2,0.6608200104533679,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,"Array, Binary Tree, Divide and Conquer, Hash Table, Tree","Array, Tree, Hash Table, Divide and Conquer"
Convert Sorted List to Binary Search Tree,MEDIUM,4,"Bloomberg, Meta, Microsoft, Uber",18.9,0.6445920225309912,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Binary Search Tree, Binary Tree, Divide and Conquer, Linked List, Tree","Binary Search, Tree, Linked List, Divide and Conquer"
Delete Node in a Linked List,MEDIUM,4,"Google, NVIDIA, Oracle, PayPal",24.0,0.8231559199073729,https://leetcode.com/problems/delete-node-in-a-linked-list,Linked List,Linked List
Exclusive Time of Functions,MEDIUM,4,"IBM, Linkedln, Meta, Snap",100.0,0.6479177009848633,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack","Array, Stack"
Find K Closest Elements,MEDIUM,4,"Apple, Atlassian, Linkedln, Meta",63.9,0.486686656754684,https://leetcode.com/problems/find-k-closest-elements,"Array, Binary Search, Heap (Priority Queue), Sliding Window, Sorting, Two Pointers","Array, Binary Search, Queue, Heap / Priority Queue, Sorting, Two Pointers, Sliding Window"
Find the Smallest Divisor Given a Threshold,MEDIUM,4,"DEShaw, IBM, Oracle, PayPal",58.7,0.6364582895334892,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search","Array, Binary Search"
Frequency of the Most Frequent Element,MEDIUM,4,"CRED, Meta, Microsoft, Uber",89.4,0.4410334035974388,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Prefix Sum, Sliding Window, Sorting","Array, Binary Search, Sorting, Greedy, Sliding Window, Prefix Sum"
Graph Valid Tree,MEDIUM,4,"Google, Linkedln, Salesforce, Snowflake",32.4,0.4933560205084969,https://leetcode.com/problems/graph-valid-tree,"Breadth-First Search, Depth-First Search, Graph, Union Find","Graph, BFS, DFS, Union Find"
Gray Code,MEDIUM,4,"Amazon, Bloomberg, Google, IBM",26.8,61.87%,https://leetcode.com/problems/gray-code,"Backtracking, Bit Manipulation, Math","Backtracking, Bit Manipulation, Math"
House Robber II,MEDIUM,4,"ByteDance, Databricks, Linkedln, Visa",70.8,0.4356271757478365,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming","Array, Dynamic Programming"
Longest String Chain,MEDIUM,4,"Atlassian, Citadel, Flipkart, Snap",64.3,62.0%,https://leetcode.com/problems/longest-string-chain,"Array, Dynamic Programming, Hash Table, Sorting, String, Two Pointers","Array, String, Dynamic Programming, Hash Table, Sorting, Two Pointers"
Maximum Profit From Trading Stocks,MEDIUM,4,"BlackRock, Oracle, Snowflake, Walmart",49.2,0.4659311012728279,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming","Array, Dynamic Programming"
Minimum Area Rectangle,MEDIUM,4,"ByteDance, Flipkart, Google, Snap",53.7,0.5500425559774781,https://leetcode.com/problems/minimum-area-rectangle,"Array, Geometry, Hash Table, Math, Sorting","Array, Hash Table, Sorting, Math"
Minimum Operations to Reduce an Integer to 0,MEDIUM,4,"IBM, Microsoft, NVIDIA, Salesforce",37.4,0.5730954555475073,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Bit Manipulation, Dynamic Programming, Greedy","Dynamic Programming, Greedy, Bit Manipulation"
Peak Index in a Mountain Array,MEDIUM,4,"Bloomberg, ByteDance, DEShaw, Google",34.2,0.675694802801327,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search","Array, Binary Search"
